title,status,location_type,dates,location,organizer,prizes,themes,website,detail_url
MakerHacks II,Ended,,"Oct. 18, 2025 - Oct. 19, 2025","San Francisco, California, United States",,,"beginner, iot, machine learning",,https://allhackathons.com/hackathon/makerhacks-ii/
STEM Connect Hackathon Fall 2025,Ended,,"Sept. 19, 2025 - Sept. 22, 2025",Online,,,beginner,,https://allhackathons.com/hackathon/stem-connect-hackathon-fall-2025/
SDGs in Practice: Innovation Challenge for School Youth,Ended,,"Sept. 16, 2025 - Oct. 3, 2025",Online,,,"beginner, education, social",,https://allhackathons.com/hackathon/sdgs-in-practice-innovation-challenge-for-school-youth/
AI in the Outback,Ended,,"Sept. 7, 2025 - Sept. 28, 2025",Online,,,"beginner, machine learning, social",,https://allhackathons.com/hackathon/ai-in-the-outback/
Harnessing Copernicus Foundation Models to Decode Earth from Space,Ended,,"Sept. 1, 2025 - Sept. 29, 2025",In-person,,,machine learning,,https://allhackathons.com/hackathon/harnessing-copernicus-foundation-models-to-decode-earth-from-space/
SRHR Tech Innovation: Inclusive SRHR Access for Adolescents & Youth in Liberia,Ended,,"Aug. 25, 2025 - Oct. 24, 2025",Online,,,"education, health, social",,https://allhackathons.com/hackathon/srhr-tech-innovation-inclusive-srhr-access-for-adolescents-youth-in-liberia/
Tech 4 Social Good,Ended,,"Aug. 11, 2025 - Sept. 20, 2025",Online,,,"education, machine learning, social",,https://allhackathons.com/hackathon/tech-4-social-good/
HackBlitz,Ended,,"July 24, 2025 - July 30, 2025","Bengaluru, Karnataka, India",,,"health, iot, machine learning",,https://allhackathons.com/hackathon/hackblitz/
WeSee AI Hackathon,Ended,,"June 1, 2025 - June 1, 2025","generative 
  

  

  

  

  

  

  

  

  

  

  
      
      Online",,,"ai, coding, computer science, corporate, creative, design, developer, digital marketing, generative ai, good, hiring, innovation, online, remote, science, software engineering, startups, students, virtual",,https://allhackathons.com/hackathon/wesee-ai-hackathon/
Proving Ground: Agentic Startup Hackathon,Ended,,"May 16, 2025 - May 18, 2025","Palo Alto, California, United States",,,enterprise,,https://allhackathons.com/hackathon/proving-ground-agentic-startup-hackathon/
HACK 'N CRACK,Ended,,"April 26, 2025 - May 17, 2025",India,,,"health, iot",,https://allhackathons.com/hackathon/hack-n-crack/
"{AI Agent} Love Hack; w/ Fetch.ai Innovation Lab, Polygon, & Swarms.ai",Ended,,"Feb. 15, 2025 - Feb. 16, 2025","San Francisco, California, United States",,,"health, machine learning, quantum",,https://allhackathons.com/hackathon/ai-agent-love-hack-w-fetch-ai-innovation-lab-polygon-swarms-ai/
MakerHacks,Ended,,"Feb. 1, 2025 - Feb. 2, 2025",In-person,,,"beginner, design, iot",,https://allhackathons.com/hackathon/makerhacks/
Mini Hack,,,"Jan. 30, 2025","Richmond, Kentucky, United States",,,beginner,,https://allhackathons.com/hackathon/mini-hack/
Educational Equity Through Tech Ideathon,Ended,,"Dec. 22, 2024 - Jan. 1, 2025",Online,,,"beginner, education, low/no-code",,https://allhackathons.com/hackathon/educational-equity-through-tech-ideathon/
Neodata Hackatania 2,Ended,,"Nov. 15, 2024 - Nov. 18, 2024",In-person,,,"enterprise, machine learning",,https://allhackathons.com/hackathon/neodata-hackatania-2/
zkHackathon Thailand by Aleo,Ended,,"Nov. 9, 2024 - Nov. 17, 2024",In-person,,,blockchain,,https://allhackathons.com/hackathon/zkhackathon-thailand-by-aleo/
Consumer AI Hackathon London 2024,Ended,,"Nov. 5, 2024 - Nov. 10, 2024","London, England, United Kingdom",,,"audio, social",,https://allhackathons.com/hackathon/consumer-ai-hackathon-london-2024/
DTE Designathon 2024,Ended,,"Oct. 19, 2024 - Oct. 20, 2024",Online,,,"design, health, social",,https://allhackathons.com/hackathon/dte-designathon-2024/
"AI HackFlow ""West World Edition""",Ended,,"Oct. 19, 2024 - Oct. 20, 2024",In-person,,,"beginner, low/no-code, machine learning",,https://allhackathons.com/hackathon/ai-hackflow-west-world-edition/
Ideathon - Build with AI,Ended,,"Oct. 19, 2024 - Nov. 19, 2024",India,,,"beginner, machine learning",,https://allhackathons.com/hackathon/ideathon-build-with-ai/
Hack the Colosseum,,,"Oct. 18, 2024",Online,,,"beginner, machine learning",,https://allhackathons.com/hackathon/hack-the-colosseum/
HarborHack 2024 (In-Person Hackathon),Ended,,"Oct. 18, 2024 - Oct. 20, 2024",In-person,,,"health, social",,https://allhackathons.com/hackathon/harborhack-2024-in-person-hackathon/
Grid The Globe – GDSC × EWB USYD 2024,Ended,,"Sept. 29, 2024 - Oct. 3, 2024",Online,,,"mobile, social",,https://allhackathons.com/hackathon/grid-the-globe-gdsc-x-ewb-usyd-2024/
Fitch Code for a Cause '24 -  London - Hybrid (1 day on site - rest virtual),Ended,,"Sept. 13, 2024 - Sept. 16, 2024","London, England, United Kingdom",,,"mobile, social, web",,https://allhackathons.com/hackathon/fitch-code-for-a-cause-24-london-hybrid-1-day-on-site-rest-virtual/
[REDACTED] Hackathon,Ended,,"Sept. 5, 2024 - Oct. 31, 2024",Online,,,"blockchain, machine learning",,https://allhackathons.com/hackathon/redacted-hackathon/
HackAI - Dell and NVIDIA Challenge,Ended,,"Aug. 14, 2024 - Oct. 2, 2024",Online,,,"enterprise, machine learning",,https://allhackathons.com/hackathon/hackai-dell-and-nvidia-challenge/
Aleo zKompete (SBC24),Ended,,"Aug. 6, 2024 - Aug. 16, 2024",United States,,,blockchain,,https://allhackathons.com/hackathon/aleo-zkompete-sbc24/
Code the Vote,Ended,,"June 15, 2024 - June 16, 2024",Online,,,"beginner, design, social",,https://allhackathons.com/hackathon/code-the-vote/
Neodata Hackathon Catania,Ended,,"May 24, 2024 - May 27, 2024",Italy,,,"beginner, enterprise, machine learning",,https://allhackathons.com/hackathon/neodata-hackathon-catania/
Beta Health,Ended,,"March 14, 2024 - April 8, 2024",Online,,,"health, machine learning, mobile",,https://allhackathons.com/hackathon/beta-health/
Health Tech Innovators,Ended,,"March 6, 2024 - May 15, 2024",Online,,,"health, machine learning, social",,https://allhackathons.com/hackathon/health-tech-innovators/
Naal'Hack,Ended,,"Feb. 7, 2024 - April 28, 2024",In-person,,,web,,https://allhackathons.com/hackathon/naal-hack/
HackCWRU 2024,Ended,,"Jan. 31, 2024 - Feb. 25, 2024",In-person,,,"fintech, games, health",,https://allhackathons.com/hackathon/hackcwru-2024/
Hack-A-Week,Ended,,"Jan. 10, 2024 - Jan. 13, 2024",Nepal,,,"beginner, fintech, machine learning",,https://allhackathons.com/hackathon/hack-a-week/
Hack Your Path 5.0,Ended,,"Nov. 24, 2023 - Dec. 6, 2023",India,,,"beginner, education, robotics",,https://allhackathons.com/hackathon/hack-your-path-5-0/
Hack Your Path 5.0,Ended,,"Nov. 23, 2023 - Dec. 6, 2023",Online,,,"beginner, education, robotics",,https://allhackathons.com/hackathon/hack-your-path-5-0-2/
HealthScore hackathon for working professionals.,Ended,,"Nov. 20, 2023 - Dec. 1, 2023","Bengaluru, Karnataka, India",,,health,,https://allhackathons.com/hackathon/healthscore-hackathon-for-working-professionals/
Fitch Code For a Cause 2023 with Amazon,Ended,,"Nov. 2, 2023 - Nov. 3, 2023",In-person,,,social,,https://allhackathons.com/hackathon/fitch-code-for-a-cause-2023-with-amazon/
Epson Innovation Challenge #3,Ended,,"Oct. 26, 2023 - Nov. 3, 2023","San Francisco, California, United States",,,machine learning,,https://allhackathons.com/hackathon/epson-innovation-challenge-3/
AI Build Week,Ended,,"Oct. 20, 2023 - Oct. 21, 2023","Mountain View, California, United States",,,machine learning,,https://allhackathons.com/hackathon/ai-build-week/
HackZurich 2023,Ended,,"Sept. 15, 2023 - Sept. 17, 2023",In-person,,,"ar/vr, mobile",,https://allhackathons.com/hackathon/hackzurich-2023-2/
dApp-A-thon Season 2,Ended,,"Aug. 21, 2023 - Sept. 17, 2023",Online,,,"beginner, blockchain, low/no-code",,https://allhackathons.com/hackathon/dapp-a-thon-season-2/
Epson Innovation Challenge #2,Ended,,"July 12, 2023 - July 20, 2023","San Francisco, California, United States",,,machine learning,,https://allhackathons.com/hackathon/epson-innovation-challenge-2/
HackZurich 2023,Ended,,"July 10, 2023 - Sept. 17, 2023",Switzerland,,,"mobile, social",,https://allhackathons.com/hackathon/hackzurich-2023/
2023 APEC App Challenge,Ended,,"May 20, 2023 - May 30, 2023",Online,,,"enterprise, retail, social",,https://allhackathons.com/hackathon/2023-apec-app-challenge/
A Better World Hackathon,Ended,,"May 19, 2023 - May 21, 2023","New Haven, Connecticut, United States",,,"iot, machine learning, social",,https://allhackathons.com/hackathon/a-better-world-hackathon/
AMUROVc,Ended,,"Jan. 7, 2023 - Jan. 31, 2023",India,,,"design, machine learning, robotics",,https://allhackathons.com/hackathon/amurovc/
Police Hackathon(SRM),Ended,,"Sept. 16, 2022 - Sept. 17, 2022","Chennai, Tamil Nadu, India",,,security,,https://allhackathons.com/hackathon/police-hackathon-srm/
HACKATHON People on the Move,Ended,,"Aug. 26, 2022 - Aug. 28, 2022","Vilnius, Vilnius, Lithuania",,,"industry, transport",,https://allhackathons.com/hackathon/hackathon-people-on-the-move/
TechFWD: NL's first career-based hackathon,Ended,,"July 19, 2022 - July 23, 2022","St. John's, Newfoundland and Labrador, Canada",,,industry,,https://allhackathons.com/hackathon/techfwd-nl-s-first-career-based-hackathon/
NIVA Hackathon,Ended,,"June 16, 2022 - June 17, 2022",In-person,,,industry,,https://allhackathons.com/hackathon/niva-hackathon/
e-Payments Challenge 2021,Ended,,"Nov. 17, 2021 - Nov. 19, 2021",Online,,,"blockchain, fintech, iot, retail",,https://allhackathons.com/hackathon/e-payments-challenge-2021/
HackYourPath3.0,Ended,,"Nov. 16, 2021 - Nov. 23, 2021",Online,,,,,https://allhackathons.com/hackathon/hackyourpath3-0/
Visualisation Matters 2021 Hackathon,,,"Sept. 2, 2021",Australia,,,"industry, media",,https://allhackathons.com/hackathon/visualisation-matters-2021-hackathon/
Space Office Hackathon 2021,Ended,,"March 26, 2021 - March 28, 2021",Online,,,"energy, industry, robotics, transport",,https://allhackathons.com/hackathon/space-office-hackathon-2021/
Remote Rhapsody Online Hackathon by Deutsche Telekom,Ended,,"Nov. 30, 2020 - Dec. 16, 2020",Online,,,"ai, industry, retail, wearables",,https://allhackathons.com/hackathon/remote-rhapsody-online-hackathon-by-deutsche-telekom/
ITS Moin Hack,Ended,,"Oct. 30, 2020 - Oct. 31, 2020","Hamburg, Hamburg, Germany",,,"energy, industry, non-profit, transport",,https://allhackathons.com/hackathon/its-moin-hack/
Hybrid Productivity Digital Hackathon,Ended,,"Sept. 30, 2020 - Oct. 28, 2020",Online,,,"api, industry, iot",,https://allhackathons.com/hackathon/hybrid-productivity-digital-hackathon/
Lithe Product Innovation Challenge,Ended,,"Sept. 1, 2020 - Oct. 1, 2020",Online,,,"iot, retail, wearables",,https://allhackathons.com/hackathon/lithe-product-innovation-challenge/
FursavsVirus Challenge,Ended,,"July 27, 2020 - Aug. 3, 2020",Online,,,"health, social",,https://allhackathons.com/hackathon/fursavsvirus-challenge/
CodeUp Hack,Ended,,"July 24, 2020 - Sept. 25, 2020","Warri, Delta, Nigeria",,,"devops, health, social",,https://allhackathons.com/hackathon/codeup-hack/
Cisco Enterprise Networking Hackathon 2020,Ended,,"July 13, 2020 - July 24, 2020",Online,,,,,https://allhackathons.com/hackathon/cisco-enterprise-networking-hackathon-2020/
Coronathon,Ended,,"April 9, 2020 - April 14, 2020",United States,,,health,,https://allhackathons.com/hackathon/coronathon/
COVID-19 Equalithon - remote hack for challenges of Nonprofits on the field,Ended,,"March 28, 2020 - April 4, 2020",Online,,,"ai, ar/vr, non-profit, security",,https://allhackathons.com/hackathon/covid-19-equalithon-remote-hack-for-challenges-of-nonprofits-on-the-field/
Hackathon:  Resource-sharing in Nunavut | Partage de ressources au Nunavut,Ended,,"March 23, 2020 - March 24, 2020","Ottawa, Ontario, Canada",,,"industry, non-profit, transport",,https://allhackathons.com/hackathon/hackathon-resource-sharing-in-nunavut-partage-de-ressources-au-nunavut/
Miro in Cube,Ended,,"Feb. 21, 2020 - Feb. 24, 2020","Barcelona, Catalonia, Spain",,,ai,,https://allhackathons.com/hackathon/miro-in-cube/
Weekend of Innovation 2019,Ended,,"July 19, 2019 - July 28, 2019","Redlands, California, United States",,,"ar/vr, iot, machine learning",,https://allhackathons.com/hackathon/weekend-of-innovation-2019/
Hinterland Hack 2019,Ended,,"June 28, 2019 - June 30, 2019","Bielefeld, North Rhine-Westphalia, Germany",,,"ai, big data, industry, iot",,https://allhackathons.com/hackathon/hinterland-hack-2019/
Vue Storefront Hackathon #10 @ Berlin,,,"May 24, 2019","Berlin, State of Berlin, Germany",,,"api, retail",,https://allhackathons.com/hackathon/vue-storefront-hackathon-10-berlin/
Code for Venezuela SF Codeathon,Ended,,"April 13, 2019 - April 14, 2019","San Francisco, California, United States",,,,,https://allhackathons.com/hackathon/code-for-venezuela-sf-codeathon/
"Chain Accelerator is organizing, for Tendermint (tendermint.com) and Université Paris-Dauphine’s FinTech chair, a hackathon on April 13rd-14th 2019",Ended,,"April 13, 2019 - April 15, 2019","Paris, Île-de-France, France",,,"api, blockchain",,https://allhackathons.com/hackathon/chain-accelerator-is-organizing-for-tendermint-tendermint-com-and-universite-paris-dauphines-fintech-chair-a-hackathon-on-april-13rd-14th-2019/
T-Labs Blockchain Identity Hackathon Berlin #TLabsHACK,Ended,,"Jan. 19, 2019 - Jan. 20, 2019","Berlin, State of Berlin, Germany",,,"blockchain, fintech",,https://allhackathons.com/hackathon/t-labs-blockchain-identity-hackathon-berlin-tlabshack/
Shearwater Application Security Hackathon 2018,,,"Nov. 16, 2018",Australia,,,industry,,https://allhackathons.com/hackathon/shearwater-application-security-hackathon-2018/
"Coding With Strangers, Online!",,,"Sept. 29, 2018",Online,,,"ai, api, big data, iot",,https://allhackathons.com/hackathon/coding-with-strangers-online/
“Save Lives by your Hack” during the EmergencyEye® Hackathon am Ring,Ended,,"Feb. 16, 2018 - Feb. 18, 2018",Germany,,,"api, industry, media, security",,https://allhackathons.com/hackathon/save-lives-by-your-hack-during-the-emergencyeye-r-hackathon-am-ring/
MD5: Hacking the Human Element,Ended,,"Dec. 1, 2017 - Dec. 3, 2017","Tampa, Florida, United States",,,wearables,,https://allhackathons.com/hackathon/md5-hacking-the-human-element/
KONE Smart Buildings Hackathon,Ended,,"Sept. 30, 2017 - Oct. 1, 2017","Sunnyvale, California, United States",,,"api, industry, iot",,https://allhackathons.com/hackathon/kone-smart-buildings-hackathon/
Impact Hackathon NYC: API & UX Design,Ended,,"June 1, 2017 - June 7, 2017",United States,,,"api, industry",,https://allhackathons.com/hackathon/impact-hackathon-nyc-api-ux-design/
Hack EMD: Creating the Future of Enterprise AR & VR,Ended,,"April 21, 2017 - April 23, 2017","Austin, Minnesota, United States",,,"games, health, industry, robotics",,https://allhackathons.com/hackathon/hack-emd-creating-the-future-of-enterprise-ar-vr/
GLOBHE Drone Hackathon Series - #1,,,"April 5, 2017","Kigali, Kigali, Rwanda",,,"health, robotics",,https://allhackathons.com/hackathon/globhe-drone-hackathon-series-1/
II Hackathon Open Data Cáceres,,,"Nov. 25, 2016","Cáceres, Extremadura, Spain",,,industry,,https://allhackathons.com/hackathon/ii-hackathon-open-data-caceres/
ubi i/o APIs Hackathon,Ended,,"June 3, 2016 - June 9, 2016","San Francisco, California, United States",,,"api, big data, iot",,https://allhackathons.com/hackathon/ubi-i-o-apis-hackathon/
Mining & Energy in 2025 & Beyond: Technology Symposium,,,"May 26, 2016","Brisbane, Queensland, Australia",,,"energy, industry",,https://allhackathons.com/hackathon/mining-energy-in-2025-beyond-technology-symposium/
Barclays Tech Challenge,Ended,,"May 26, 2016 - May 27, 2016","Liverpool, England, United Kingdom",,,"api, fintech, iot",,https://allhackathons.com/hackathon/barclays-tech-challenge/
Hacking HealthTech with UoN,Ended,,"April 15, 2016 - April 17, 2016","Newcastle, New South Wales, Australia",,,"api, health, iot, wearables",,https://allhackathons.com/hackathon/hacking-healthtech-with-uon/
Distribute! Hack-a-thon,Ended,,"April 9, 2016 - April 17, 2016",United States,,,"api, industry, iot",,https://allhackathons.com/hackathon/distribute-hack-a-thon/
Bits and Bots Hackathon,Ended,,"March 11, 2016 - March 13, 2016",Greece,,,"games, iot, robotics",,https://allhackathons.com/hackathon/bits-and-bots-hackathon/
Hackathon COP21,Ended,,"Dec. 1, 2015 - Dec. 2, 2015","Paris, Île-de-France, France",,,"big data, energy, industry, transport",,https://allhackathons.com/hackathon/hackathon-cop21/
